asset,threshold,xi,beta,VaR_99%,ES_99%,num_excesses
^GSPC,2.561802938311666,0.11414720454728638,0.8490963585782563,4.061952309178922,5.21376243034548,500
^GDAXI,2.6023674289943948,0.101850785484983,0.8482885658767736,4.0859075413034445,5.19862720465424,500
^FCHI,2.5924619963221116,0.0572338855824268,0.9152145671350143,4.135416312142498,5.19986254388424,500
^N225,2.5806716236237497,0.12927058641500222,0.8143125366901596,4.037560691189489,5.189061289599116,500
^BVSP,2.5970436133860466,0.08451474191795458,0.8494471421220129,4.061518642792486,5.124579858345525,500
^NSEI,2.607062757513358,0.15521786127412462,0.8648671220498478,4.188305814466244,5.502614245725487,500
