asset,chosen_threshold,num_excesses,xi,beta,VaR_99%,ES_99%
^GSPC,1.54,2,,,,
^GDAXI,1.42,1,,,,
^FCHI,1.0,34,0.17506137022809143,0.1916360799373774,1.9076639006087033,2.3325839533663633
^N225,1.4,4,,,,
^BVSP,1.4,6,1.2827122398442263,0.07558779512813384,1.8726823525702274,
^NSEI,1.0,44,0.38155077458740294,0.12870269859329206,2.050537072497188,2.9067689353216557
