,best_order,aic,bic,loglikelihood
^GSPC,"(6, 1)",203.94325748393837,228.08243852805634,-92.97162874196918
^GDAXI,"(1, 1)",212.93206633028944,223.6605912387863,-102.46603316514472
^FCHI,"(1, 1)",211.96264065472732,222.69116556322422,-101.98132032736366
^N225,"(1, 1)",195.00250817187126,205.73103308036815,-93.50125408593563
^BVSP,"(4, 1)",228.01834774254647,246.793266332416,-107.00917387127323
^NSEI,"(1, 1)",166.87204640988793,177.60057131838482,-79.43602320494396
