asset,threshold,xi,beta,VaR_99%,ES_99%,num_excesses
^GSPC,1.0848484974960477,0.35250364727784755,0.12634373277309321,1.8411586044209476,2.4480281292997024,27
^GDAXI,1.0685376151937296,0.32633284332112733,0.21745707311920529,2.3072222262487303,3.230052644890105,27
^FCHI,1.1206394262765038,-0.0072871427734142015,0.27440304283724304,1.9936301079804084,2.259732417557988,27
^N225,1.1117135124114377,0.22000689705665843,0.17210145860346146,1.9176568766444888,2.365628219023346,27
^BVSP,1.056509057274029,0.1022093013802447,0.30068714638105587,2.2025951264923687,2.6679906841427803,27
^NSEI,1.0855988613613823,0.04964092127896799,0.22475245191621657,1.8700539753966665,2.1475212321243005,27
