Date,^GSPC,^GDAXI,^FCHI,^N225,^BVSP,^NSEI
2016-01-31,-1.5056520328200553,-1.5448349381772084,-1.461979595470974,-1.2864048688132455,-2.3637047138927243,-1.3323547865500576
2016-02-29,-1.5191567314779268,-1.7634863373945662,-1.6067624056660819,-1.4374594579586761,-2.296423377193689,-1.3960990152178623
2016-03-31,-1.4072138071906393,-1.5314523123616002,-1.3805341069869776,-1.350435303223643,-1.9611263746748595,-1.3248931408128848
2016-04-30,-1.3561822064479374,-1.4647866327726002,-1.3639778734675458,-1.4063885237619604,-1.8509349749741064,-1.276825605221141
2016-05-31,-1.3656918568103176,-1.4699574820006023,-1.4308456807370369,-1.3954459454600485,-1.8853339025898534,-1.2594748711154364
2016-06-30,-1.3482236781083259,-1.5317509889535266,-1.5030931368244163,-1.481439640779717,-1.920508979704346,-1.1945487824111394
2016-07-31,-1.2863064557457158,-1.490375877492374,-1.4829166643934342,-1.4657056396489696,-1.7205061363757643,-1.1306242490125984
2016-08-31,-1.2590861915442189,-1.2578399081171188,-1.3825078257060035,-1.3996522846884119,-1.5984632617596934,-1.1035227974129638
2016-09-30,-1.2779356734002474,-1.26835454225354,-1.360839421951833,-1.3757812543046384,-1.5805035404234649,-1.0741617498252793
2016-10-31,-1.2919076590034382,-1.2195121910016022,-1.3151784465355538,-1.3271652930013227,-1.4137410959839227,-1.0973998510849565
2016-11-30,-1.2709880525505515,-1.2311969473239157,-1.3089143803171375,-1.2251753483942538,-1.4490449568976496,-1.1824410568221337
2016-12-31,-1.1932295148426635,-0.9784020353001395,-1.0663553736517697,-1.0075297724518577,-1.5516303195096741,-1.2102385279835652
2017-01-31,-1.166098069579344,-0.8130137011273334,-0.9739459706637021,-0.9872863041984349,-1.3702811771592467,-1.154901394129206
2017-02-28,-1.1139107854414967,-0.7618672680217691,-0.9897215197394402,-0.9881279933861036,-1.250505772025353,-1.0680594427107832
2017-03-31,-1.0787555156298072,-0.6385214040834756,-0.8390228254305078,-0.9641821004370376,-1.3087851898668479,-1.0205417401701318
2017-04-30,-1.085910755036352,-0.5630449233696998,-0.7213763694500618,-1.0596508580978914,-1.3317979179599528,-0.9864837065617796
2017-05-31,-1.0515890429903325,-0.3881565825317974,-0.5186645266390499,-0.9030575114262273,-1.3051284200062718,-0.941264076088482
2017-06-30,-1.0147880511124148,-0.3679520368467757,-0.6008925693728442,-0.8526386749315075,-1.4327144230330946,-0.9067073386182295
2017-07-31,-0.9956282256774025,-0.4957347461041893,-0.683674436496999,-0.8527597077286544,-1.3303414557214948,-0.8572689679339535
2017-08-31,-0.993608560439204,-0.5951868835680064,-0.7324142426531234,-0.912004909594715,-1.1533848717219766,-0.8468869140612075
2017-09-30,-0.958732976077407,-0.46224074551186334,-0.6521854415640709,-0.871807005193852,-0.9270004289759483,-0.8312860649523826
2017-10-31,-0.8976294789669469,-0.24488301235608045,-0.4833952690973801,-0.6594418082702858,-0.8525637136421337,-0.7986013414555618
2017-11-30,-0.8627629461242206,-0.1847637323083873,-0.47580911163434614,-0.4605851133989245,-0.9660360782056203,-0.7607695091492743
2017-12-31,-0.7953939141826057,-0.21720063182461036,-0.49910182876207293,-0.42188726857506903,-0.9499129638824856,-0.7612761602010819
2018-01-31,-0.6759005202194309,-0.1393395957807571,-0.3965900084117376,-0.2728909227529406,-0.6587000991163279,-0.6667615081311857
2018-02-28,-0.7565212723715498,-0.47047302734831287,-0.6064731520001274,-0.5449350658215502,-0.5017640069951934,-0.7184091502775777
2018-03-31,-0.7587893840208674,-0.5902344385672558,-0.6597834791630531,-0.6392001557949493,-0.4789008154618021,-0.7795019429788821
2018-04-30,-0.8055993674504661,-0.4899689267415296,-0.5248913832430745,-0.5643666941970229,-0.48568610075119256,-0.7306428834275531
2018-05-31,-0.760008670521145,-0.28607157080286943,-0.3456174831306768,-0.4503223990804559,-0.598312431597121,-0.6917055576523714
2018-06-30,-0.7096645936311827,-0.3855001909853889,-0.4661832979861939,-0.4546199162481538,-0.9939065161026467,-0.6757401992209305
2018-07-31,-0.6722436748643073,-0.4205531096843172,-0.46518355863404964,-0.49268047970747136,-0.8164486751050142,-0.6252814318374585
2018-08-31,-0.6111203272952733,-0.4706539394275446,-0.4381855158381186,-0.46548784617665695,-0.7832489179636221,-0.5221442032618944
2018-09-30,-0.5695186632124944,-0.5823547393932368,-0.49101918830850844,-0.3603166424326825,-0.8136049128188884,-0.5630877606850281
2018-10-31,-0.6800330922786987,-0.7971074999779661,-0.6881938145753278,-0.4343958084488905,-0.520045814323507,-0.7487628855440347
2018-11-30,-0.7393052129949835,-0.9193315084411698,-0.8141042421199798,-0.5486998262682751,-0.38659538126534043,-0.7003778992108614
2018-12-31,-0.8878099472903941,-1.1336430814038942,-1.0349203232954343,-0.6966107106311334,-0.4020244279102585,-0.6685289585165483
2019-01-31,-0.8496345787623258,-1.078811127263389,-1.012116950918231,-0.78703850036503,-0.09627969483183325,-0.6631521388608461
2019-02-28,-0.7091776050200659,-0.9514890826732137,-0.7366505807954427,-0.682186840557637,-0.004820789350716153,-0.6568358828402224
2019-03-31,-0.6623952651072121,-0.8446535864351495,-0.5528708213815833,-0.636136369125757,-0.02185811818033599,-0.5624478748695843
2019-04-30,-0.5673286131014522,-0.6302172443479956,-0.3700931477895792,-0.5491766710720745,-0.060337080523840535,-0.4879851644555094
2019-05-31,-0.6140866486156873,-0.6254861609582559,-0.5104373029314514,-0.6672069778407679,-0.10977589855559286,-0.5031177393949362
2019-06-30,-0.5803138693040608,-0.5909438291822168,-0.4549959248049161,-0.6922167645015814,0.08875068418554515,-0.45289929600939466
2019-07-31,-0.4794074978911523,-0.49190361362504587,-0.307370106431953,-0.6078663576383775,0.27268820558886436,-0.5171283910861972
2019-08-31,-0.5733760132934824,-0.7723467190066139,-0.5187666536395394,-0.7602907052535104,0.15528921483051267,-0.6282613713589269
2019-09-30,-0.4927009852867733,-0.5415362804267216,-0.28049635930243516,-0.6091656986317148,0.27584706021627736,-0.598213837341829
2019-10-31,-0.4969685843099237,-0.43829538803529894,-0.2654587535709048,-0.5123958039326363,0.3220245518640732,-0.525284002623753
2019-11-30,-0.37579321535144716,-0.16784388804438788,-0.014557261839153042,-0.3415329070401633,0.44665759655763676,-0.4274630780134179
2019-12-31,-0.3073667828502273,-0.17092701754130815,0.006477289323064768,-0.2810868133065599,0.6544570487791885,-0.40047362096800604
2020-01-31,-0.21074087099441105,-0.09858327649140067,0.08647626957757301,-0.28384658005565067,0.8257333986629922,-0.3829512886382037
2020-02-29,-0.2115872597064274,-0.11489825271019898,0.01392152418740367,-0.35698426872232286,0.6737306641733336,-0.43057606712992924
2020-03-31,-0.8067723424710156,-1.460280619933159,-1.3298393047612642,-1.0220802400286688,-0.6301562298550736,-0.943434332834598
2020-04-30,-0.7024049480795616,-1.3214074805419886,-1.382652882335572,-0.9850253988720425,-0.7919590463118384,-1.0171816800699505
2020-05-31,-0.5522723211748364,-1.0686670992095328,-1.3199308008249397,-0.7739544970181607,-0.6331739655821503,-0.9910702814622787
2020-06-30,-0.37602518525322765,-0.5299470140469026,-0.8856791931505498,-0.46662739175080714,-0.09816656452102854,-0.8031195221711596
2020-07-31,-0.2779660595283059,-0.35554123355032335,-0.8469102345158547,-0.45990113312937636,0.18215084813443502,-0.6442832707386728
2020-08-31,-0.10263469783712735,-0.297807781817805,-0.8816480584853839,-0.4010862328429469,0.20069164934560185,-0.5587148365179159
2020-09-30,-0.1275816928193734,-0.26577259694446836,-0.9051600426353622,-0.33696992903718204,0.07160272335053738,-0.5550276567879254
2020-10-31,-0.07692897993372157,-0.4118068360059357,-0.992250932016661,-0.31211730988921516,0.04550984313141758,-0.4629255008356836
2020-11-30,0.047163824022898336,-0.26585626334981477,-0.5338646078606311,-0.008415866893123477,0.34480437692235194,-0.2996148555661193
2020-12-31,0.1865191601511397,-0.07596092042753295,-0.33704369798503103,0.21106373809294407,0.7740120080236509,-0.10494638033721117
2021-01-31,0.2802736029698903,0.08620070853954126,-0.29727515019302087,0.4349742148143219,0.9583166996604282,0.04431802942264027
2021-02-28,0.36568988608821,0.13840510859477745,-0.19656431560454365,0.63574063575149,0.8488144064100718,0.18099299358762228
2021-03-31,0.39147768997305815,0.365735976471273,0.04993940858969662,0.6130502444763077,0.7009283287874302,0.1562411826206249
2021-04-30,0.6111697852145095,0.6629854386512934,0.2905748103373573,0.6306733513522174,0.9222409051666063,0.11125875893892946
