Date,^GSPC,^GDAXI,^FCHI,^N225,^BVSP,^NSEI
2016-01-31,1918.5978875411183,9827.091943359375,4340.096020507813,17302.297388980263,39390.15789473684,7513.394659745066
2016-02-29,1904.4184936523438,9291.378627232143,4184.78619094122,16346.96103515625,41025.31578947369,7199.86669921875
2016-03-31,2021.9540904651988,9859.880440848214,4427.463332403274,16897.340465198864,49174.13636363636,7550.094995117188
2016-04-30,2075.5352318173364,10023.21665736607,4445.223353794643,16543.467431640624,51852.15,7786.516655815973
2016-05-31,2065.5504789806546,10010.547665550595,4373.49365234375,16612.673159950657,51016.142857142855,7871.856778231534
2016-06-30,2083.891368519176,9859.148659446022,4295.9931529651985,16068.810813210228,50161.27272727273,8191.19775390625
2016-07-31,2148.9019775390625,9960.520972842261,4317.636637369792,16168.31962890625,55022.0,8505.612548828125
2016-08-31,2177.482167119565,10530.252590013586,4425.346106487772,16586.070401278408,57988.04347826087,8638.911876860118
2016-09-30,2157.690964471726,10504.490900213068,4448.589999112216,16737.04140625,58424.52380952381,8783.32509765625
2016-10-31,2143.0209379650296,10624.158544921875,4497.570940290178,17044.5103515625,62477.4,8669.027777777777
2016-11-30,2164.9856887090773,10595.529962713068,4504.290460759943,17689.540087890626,61619.4,8250.749976748511
2016-12-31,2246.6290457589284,11214.89760044643,4764.485700334822,19066.027436755954,59126.23809523809,8114.027254971591
2017-01-31,2275.1159790039064,11620.112171519886,4863.614102450284,19194.056126644737,63533.619047619046,8386.204659598214
2017-02-28,2329.9105417351975,11745.425,4846.6915283203125,19188.73291015625,66444.55555555556,8813.339483963815
2017-03-31,2366.822170091712,12047.632175611414,5008.347380264946,19340.177379261364,65028.17391304348,9047.056773792614
2017-04-30,2359.309454666941,12232.555555555555,5134.547797309027,18736.39052734375,64468.88888888889,9214.572265625
2017-05-31,2395.345880681818,12661.0458984375,5351.998623934659,19726.7564453125,65117.045454545456,9436.98641690341
2017-06-30,2433.98545143821,12710.548642113095,5263.791859019886,20045.627574573864,62016.28571428572,9606.954799107143
2017-07-31,2454.102502441406,12397.47084263393,5174.991001674107,20044.862109375,64504.28571428572,9850.118954613095
2017-08-31,2456.2230702275815,12153.80519701087,5122.707370923913,19670.16912286932,68804.91304347826,9901.183407738095
2017-09-30,2492.8410400390626,12479.53380766369,5208.76953125,19924.39853515625,74306.8,9977.916666666666
2017-10-31,2556.9972700639205,13012.0775390625,5389.832275390625,21267.490420386905,76115.85714285714,10138.677490234375
2017-11-30,2593.605736142113,13159.374556107954,5397.97001509233,22525.14853515625,73358.1052631579,10324.754527698864
2017-12-31,2664.34052734375,13079.901572779605,5372.9837068256575,22769.89090401786,73749.95,10322.262548828125
2018-01-31,2789.8038155691966,13270.667302911932,5482.949063387784,23712.210012335527,80827.38095238095,10787.135788690477
2018-02-28,2705.1552477384867,12459.3640625,5257.805517578125,21991.681949013157,84641.44444444444,10533.105263157895
2018-03-31,2702.7738211495534,12165.93908110119,5200.619047619048,21395.507626488095,85197.09523809524,10232.618472450658
2018-04-30,2653.6252092633927,12411.59755859375,5345.319018554687,21868.7876953125,85032.19047619047,10472.933268229166
2018-05-31,2701.4936190518465,12911.162295386905,5537.627752130682,22590.054501488095,82295.0,10664.447709517046
2018-06-30,2754.3528878348216,12667.554268973214,5408.295712425595,22562.875093005954,72680.76190476191,10742.973818824405
2018-07-31,2793.643357049851,12581.671830610796,5409.368141867898,22322.163174715908,76993.57142857143,10991.15682705966
2018-08-31,2857.8204292629075,12458.920813519022,5438.329186480978,22494.141474184784,77800.43478260869,11498.440476190477
2018-09-30,2901.5005139802633,12185.244970703125,5381.654028320312,23159.290907118055,77062.68421052632,11297.058322482639
2018-10-31,2785.4647800611415,11659.083629261364,5170.143023947011,22690.781338778408,84197.13636363637,10383.809477306548
2018-11-30,2723.231422061012,11359.62508877841,5035.077769886364,21967.871930803572,87440.42105263157,10621.792529296876
2018-12-31,2567.3073858963817,10834.544692095587,4798.2063630756575,21032.417763157893,87065.44444444444,10778.442529296875
2019-01-31,2607.3899972098216,10968.887340198864,4822.667746803977,20460.512232730263,94496.04761904762,10804.88858309659
2019-02-28,2754.8642064144738,11280.836474609376,5118.163012695312,21123.640727796053,96718.8,10835.955283717105
2019-03-31,2803.9837937127977,11542.59193638393,5315.305222284226,21414.884375,96304.73684210527,11300.205620659723
2019-04-30,2903.799979073661,12067.97802734375,5511.372485351562,21964.85615234375,95369.57142857143,11666.452765213815
2019-05-31,2854.705910422585,12079.569557883522,5360.824041193182,21218.38003700658,94168.04545454546,11592.022727272728
2019-06-30,2890.165979003906,12164.201017680922,5420.2965087890625,21060.20703125,98992.8947368421,11839.023694490132
2019-07-31,2996.1136363636365,12406.857421875,5578.656058933424,21593.676491477272,103463.18181818182,11523.110903532608
2019-08-31,2897.450450550426,11719.74951171875,5351.889071377841,20629.677176339286,100610.0,10976.49990234375
2019-09-30,2982.156005859375,12285.253441220239,5607.483770461309,21585.458881578947,103539.95238095238,11124.28962787829
2019-10-31,2977.675197435462,12538.201837713068,5623.61474609375,22197.474702380954,104662.21739130435,11482.997275904605
2019-11-30,3104.9044921875,13200.829520089286,5892.759044828869,23278.08759765625,107691.21052631579,11964.13251953125
2019-12-31,3176.74951171875,13193.275607638889,5915.322998046875,23660.375558035714,112741.42105263157,12096.88099888393
2020-01-31,3278.202857607887,13370.52352627841,6001.138627485795,23642.921566611843,116904.0,12183.065132472826
2020-02-29,3277.3141832853617,13330.550537109375,5923.30849609375,23180.366319444445,113209.83333333333,11948.821186266447
