,best_order,aic,bic,loglikelihood
^GSPC,"(1, 1)",200.3074584713459,211.03598337984278,-96.15372923567296
^GDAXI,"(1, 1)",206.69094050573835,217.41946541423522,-99.34547025286918
^FCHI,"(1, 1)",205.09350613215756,215.82203104065445,-98.54675306607878
^N225,"(1, 1)",190.3336919031424,201.0622168116393,-91.1668459515712
^BVSP,"(1, 1)",226.65690981976314,237.38543472826,-109.32845490988157
^NSEI,"(1, 1)",164.0576656096378,174.78619051813467,-78.0288328048189
