,best_order,aic,bic,loglikelihood
^GSPC,"(1, 1, 1)",201.303243887874,214.7139000234951,-95.651621943937
^GDAXI,"(1, 1, 1)",207.04051389072134,220.45117002634245,-98.52025694536067
^FCHI,"(1, 1, 1)",206.5440611093328,219.9547172449539,-98.2720305546664
^N225,"(1, 1, 1)",191.22869162122336,204.63934775684447,-90.61434581061168
^BVSP,"(1, 1, 1)",228.08285833351172,241.49351446913283,-109.04142916675586
^NSEI,"(1, 1, 1)",164.8539547928239,178.26461092844502,-77.42697739641196
