asset,threshold_95%,xi,beta,VaR_99%,ES_99%,num_excesses
^GSPC,1.2080907893111918,0.17596471653268148,0.17247189409127775,1.6779672319950127,1.9876063630524883,10
^GDAXI,1.2155645724348252,0.4628796633925214,0.1582119937936536,1.8313555806323742,2.6565880251677934,10
^FCHI,1.2424527884795502,-1.1754574463532377,0.8651028450568524,1.9246352370927022,1.9536987364358063,10
^N225,1.222222929498779,0.015419664619441402,0.24922377713073274,1.7865290132337766,2.0484936070979676,10
^BVSP,1.3198084085527613,0.5697409356183623,0.12344086142044358,1.8731272493485354,2.8927205404304415,10
^NSEI,1.2373833705821564,-1.1866551719681984,0.8140261104430109,1.874465696532484,1.901003522033472,10
